type	label	x_mcp	y_mcp	z_mcp	orig_group	new_label	new_group
SEEGA	LAHc-01	-37.880343	81.034876	-14.324754	LAHc	LAHc-01	LAHc
SEEGA	LAHc-02	-43.080343	80.934876	-13.824754	LAHc	LAHc-02	LAHc
SEEGA	LAHc-03	-47.980343	80.934876	-13.524754	LAHc	LAHc-03	LAHc
SEEGA	LAHc-04	-53.080343	81.034876	-13.424754	LAHc	LAHc-04	LAHc
SEEGA	LAHc-05	-57.880343	81.234876	-13.024754	LAHc	LAHc-05	LAHc
SEEGA	LAHc-06	-62.980343	81.234876	-12.524754	LAHc	LAHc-06	LAHc
SEEGA	LAHc-07	-67.880343	81.234876	-12.424754	LAHc	LAHc-07	LAHc
SEEGA	LAHc-08	-72.980343	81.234876	-12.524754	LAHc	LAHc-08	LAHc
SEEGA	LAHc-09	-77.780343	81.134876	-12.524754	LAHc	LAHc-09	LAHc
SEEGA	LAHc-10	-82.540936	80.929413	-12.205978	LAHc	LAHc-10	LAHc
SEEGA	LAm-01	-36.980343	90.734876	-16.124754	LAm	LAm-01	LAm
SEEGA	LAm-02	-40.880343	90.334876	-15.924754	LAm	LAm-02	LAm
SEEGA	LAm-03	-44.780343	89.934876	-15.724754	LAm	LAm-03	LAm
SEEGA	LAm-04	-48.780343	89.734876	-15.624754	LAm	LAm-04	LAm
SEEGA	LAm-05	-52.780343	89.534876	-15.524754	LAm	LAm-05	LAm
SEEGA	LAm-06	-56.580343	89.334876	-15.324754	LAm	LAm-06	LAm
SEEGA	LAm-07	-60.580343	89.234876	-15.424754	LAm	LAm-07	LAm
SEEGA	LAm-08	-64.480343	89.134876	-15.424754	LAm	LAm-08	LAm
SEEGA	LAm-09	-68.380343	88.934876	-15.324754	LAm	LAm-09	LAm
SEEGA	LAm-10	-72.380343	88.734876	-15.524754	LAm	LAm-10	LAm
SEEGA	LFEF-01	-20.680343	122.734876	29.775246	LFEF	LFEF-01	LFEF
SEEGA	LFEF-02	-25.680343	122.334876	29.675246	LFEF	LFEF-02	LFEF
SEEGA	LFEF-03	-30.580343	121.734876	29.775246	LFEF	LFEF-03	LFEF
SEEGA	LFEF-04	-35.380343	121.334876	30.075246	LFEF	LFEF-04	LFEF
SEEGA	LFEF-05	-40.280343	120.834876	30.275246	LFEF	LFEF-05	LFEF
SEEGA	LFEF-06	-45.380343	120.334876	30.475246	LFEF	LFEF-06	LFEF
SEEGA	LFEF-07	-50.380343	120.034876	30.675246	LFEF	LFEF-07	LFEF
SEEGA	LFEF-08	-55.380343	119.734876	30.875246	LFEF	LFEF-08	LFEF
SEEGA	LFEF-09	-60.280343	119.534876	31.075246	LFEF	LFEF-09	LFEF
SEEGA	LFEF-10	-65.180343	119.134876	31.675246	LFEF	LFEF-10	LFEF
SEEGA	LMiIn-01	-50.180343	96.134876	4.275246	LMiIn	LMiIn-01	LMiIn
SEEGA	LMiIn-02	-52.780343	97.034876	6.275246	LMiIn	LMiIn-02	LMiIn
SEEGA	LMiIn-03	-54.880343	97.634876	7.975246	LMiIn	LMiIn-03	LMiIn
SEEGA	LMiIn-04	-57.380343	98.134876	9.675246	LMiIn	LMiIn-04	LMiIn
SEEGA	LMiIn-05	-59.880343	98.734876	11.475246	LMiIn	LMiIn-05	LMiIn
SEEGA	LMiIn-06	-62.080343	99.334876	13.375246	LMiIn	LMiIn-06	LMiIn
SEEGA	LMiIn-07	-64.480343	99.834876	14.875246	LMiIn	LMiIn-07	LMiIn
SEEGA	LMiIn-08	-66.980343	100.634876	16.575246	LMiIn	LMiIn-08	LMiIn
