type	label	x_mcp	y_mcp	z_mcp
actual	LAHc	-36.645915	80.994098	-14.367069
actual	LAHc	-80.791953	81.139360	-12.223272
actual	LAIn	-55.987005	108.544415	-9.467250
actual	LAIn	-22.638354	142.749337	50.307569
actual	LAm	-35.800242	90.730736	-16.101394
actual	LAm	-78.514965	88.112034	-15.968198
actual	LFEF	-19.693500	122.603735	29.384133
actual	LFEF	-69.128929	118.828421	32.032731
actual	LMiIn	-49.141251	95.501057	2.901298
actual	LMiIn	-76.954335	103.391605	23.575727
actual	LPCg	-18.644692	64.886511	39.972962
actual	LPCg	-78.688535	68.637664	36.750666
actual	LPHc	-37.247184	66.963981	-2.133970
actual	LPHc	-80.671437	58.029386	1.201888
actual	LPIn	-55.717973	95.046521	-8.171235
actual	LPIn	-25.576472	33.923921	71.606337
actual	RAHc	3.392638	83.536089	-13.856646
actual	RAHc	45.009606	84.240653	-24.408481
actual	RAIn	19.944834	110.548216	-15.429439
actual	RAIn	0.010666	126.324770	63.362580
actual	RAm	-1.938277	90.666203	-18.411275
actual	RAm	38.515198	102.593055	-31.046458
actual	RFEF	-7.052234	122.906332	23.429139
actual	RFEF	41.763778	125.811274	20.569440
actual	RMiIn	17.826653	97.446018	4.538133
actual	RMiIn	48.000557	104.326104	16.854722
actual	RPCg	-4.265141	69.370507	38.512580
actual	RPCg	50.528771	85.842411	32.497040
actual	RPHc	8.455810	68.934656	-6.678764
actual	RPHc	49.892822	63.432431	-9.518952
actual	RPIn	22.136179	90.829808	-14.139026
actual	RPIn	12.333492	29.653568	64.418762
