type	label	x	y	z	orig_group	new_label	new_group
SEEGA	LAHc-01	-30.300000	38.400000	-14.200000	LAHc	LAHc-01	LAHc
SEEGA	LAHc-02	-35.500000	38.300000	-13.700000	LAHc	LAHc-02	LAHc
SEEGA	LAHc-03	-40.400000	38.300000	-13.400000	LAHc	LAHc-03	LAHc
SEEGA	LAHc-04	-45.500000	38.400000	-13.300000	LAHc	LAHc-04	LAHc
SEEGA	LAHc-05	-50.300000	38.600000	-12.900000	LAHc	LAHc-05	LAHc
SEEGA	LAHc-06	-55.400000	38.600000	-12.400000	LAHc	LAHc-06	LAHc
SEEGA	LAHc-07	-60.300000	38.600000	-12.300000	LAHc	LAHc-07	LAHc
SEEGA	LAHc-08	-65.400000	38.600000	-12.400000	LAHc	LAHc-08	LAHc
SEEGA	LAHc-09	-70.200000	38.500000	-12.400000	LAHc	LAHc-09	LAHc
SEEGA	LAHc-10	-74.960593	38.294537	-12.081224	LAHc	LAHc-10	LAHc
SEEGA	LAm-01	-29.400000	48.100000	-16.000000	LAm	LAm-01	LAm
SEEGA	LAm-02	-33.300000	47.700000	-15.800000	LAm	LAm-02	LAm
SEEGA	LAm-03	-37.200000	47.300000	-15.600000	LAm	LAm-03	LAm
SEEGA	LAm-04	-41.200000	47.100000	-15.500000	LAm	LAm-04	LAm
SEEGA	LAm-05	-45.200000	46.900000	-15.400000	LAm	LAm-05	LAm
SEEGA	LAm-06	-49.000000	46.700000	-15.200000	LAm	LAm-06	LAm
SEEGA	LAm-07	-53.000000	46.600000	-15.300000	LAm	LAm-07	LAm
SEEGA	LAm-08	-56.900000	46.500000	-15.300000	LAm	LAm-08	LAm
SEEGA	LAm-09	-60.800000	46.300000	-15.200000	LAm	LAm-09	LAm
SEEGA	LAm-10	-64.800000	46.100000	-15.400000	LAm	LAm-10	LAm
SEEGA	LFEF-01	-13.100000	80.100000	29.900000	LFEF	LFEF-01	LFEF
SEEGA	LFEF-02	-18.100000	79.700000	29.800000	LFEF	LFEF-02	LFEF
SEEGA	LFEF-03	-23.000000	79.100000	29.900000	LFEF	LFEF-03	LFEF
SEEGA	LFEF-04	-27.800000	78.700000	30.200000	LFEF	LFEF-04	LFEF
SEEGA	LFEF-05	-32.700000	78.200000	30.400000	LFEF	LFEF-05	LFEF
SEEGA	LFEF-06	-37.800000	77.700000	30.600000	LFEF	LFEF-06	LFEF
SEEGA	LFEF-07	-42.800000	77.400000	30.800000	LFEF	LFEF-07	LFEF
SEEGA	LFEF-08	-47.800000	77.100000	31.000000	LFEF	LFEF-08	LFEF
SEEGA	LFEF-09	-52.700000	76.900000	31.200000	LFEF	LFEF-09	LFEF
SEEGA	LFEF-10	-57.600000	76.500000	31.800000	LFEF	LFEF-10	LFEF
SEEGA	LMiIn-01	-42.600000	53.500000	4.400000	LMiIn	LMiIn-01	LMiIn
SEEGA	LMiIn-02	-45.200000	54.400000	6.400000	LMiIn	LMiIn-02	LMiIn
SEEGA	LMiIn-03	-47.300000	55.000000	8.100000	LMiIn	LMiIn-03	LMiIn
SEEGA	LMiIn-04	-49.800000	55.500000	9.800000	LMiIn	LMiIn-04	LMiIn
SEEGA	LMiIn-05	-52.300000	56.100000	11.600000	LMiIn	LMiIn-05	LMiIn
SEEGA	LMiIn-06	-54.500000	56.700000	13.500000	LMiIn	LMiIn-06	LMiIn
SEEGA	LMiIn-07	-56.900000	57.200000	15.000000	LMiIn	LMiIn-07	LMiIn
SEEGA	LMiIn-08	-59.400000	58.000000	16.700000	LMiIn	LMiIn-08	LMiIn
SEEGA	LMiIn-09	-61.900000	58.600000	18.500000	LMiIn	LMiIn-09	LMiIn
SEEGA	LMiIn-10	-64.200000	59.200000	20.100000	LMiIn	LMiIn-10	LMiIn
SEEGA	LPCg-01	-12.400000	22.600000	40.100000	LPCg	LPCg-01	LPCg
SEEGA	LPCg-02	-18.300000	22.800000	39.700000	LPCg	LPCg-02	LPCg
SEEGA	LPCg-03	-24.200000	23.100000	39.500000	LPCg	LPCg-03	LPCg
SEEGA	LPCg-04	-30.100000	23.600000	39.100000	LPCg	LPCg-04	LPCg
SEEGA	LPCg-05	-36.000000	23.800000	38.500000	LPCg	LPCg-05	LPCg
SEEGA	LPCg-06	-42.400000	23.800000	38.400000	LPCg	LPCg-06	LPCg
SEEGA	LPCg-07	-48.200000	24.300000	38.200000	LPCg	LPCg-07	LPCg
SEEGA	LPCg-08	-54.000000	24.900000	37.900000	LPCg	LPCg-08	LPCg
SEEGA	LPCg-09	-60.200000	25.200000	37.800000	LPCg	LPCg-09	LPCg
SEEGA	LPCg-10	-66.000000	25.800000	37.500000	LPCg	LPCg-10	LPCg
SEEGA	LPHc-01	-30.800000	24.000000	-2.000000	LPHc	LPHc-01	LPHc
SEEGA	LPHc-02	-34.600000	23.100000	-1.700000	LPHc	LPHc-02	LPHc
SEEGA	LPHc-03	-38.500000	22.400000	-1.500000	LPHc	LPHc-03	LPHc
SEEGA	LPHc-04	-42.200000	21.500000	-1.300000	LPHc	LPHc-04	LPHc
SEEGA	LPHc-05	-46.300000	20.600000	-0.800000	LPHc	LPHc-05	LPHc
SEEGA	LPHc-06	-50.000000	19.800000	-0.600000	LPHc	LPHc-06	LPHc
SEEGA	LPHc-07	-53.900000	19.000000	-0.400000	LPHc	LPHc-07	LPHc
SEEGA	LPHc-08	-57.600000	18.200000	-0.100000	LPHc	LPHc-08	LPHc
SEEGA	LPHc-09	-61.600000	17.300000	0.100000	LPHc	LPHc-09	LPHc
SEEGA	LPHc-10	-65.400000	16.400000	0.300000	LPHc	LPHc-10	LPHc
SEEGA	RAIn-01	27.300000	68.300000	-13.500000	RAIn	RAIn-01	RAIn
SEEGA	RAIn-02	26.700000	68.800000	-10.500000	RAIn	RAIn-02	RAIn
