type	label	x	y	z
actual	LAHc	-29.065572	38.359222	-14.242315
actual	LAHc	-73.211610	38.504484	-12.098518
actual	LAIn	-48.406662	65.909539	-9.342496
actual	LAIn	-15.058011	100.114461	50.432323
actual	LAm	-28.219899	48.095860	-15.976640
actual	LAm	-70.934622	45.477158	-15.843444
actual	LFEF	-12.113157	79.968859	29.508887
actual	LFEF	-61.548586	76.193545	32.157485
actual	LMiIn	-41.560908	52.866181	3.026052
actual	LMiIn	-69.373992	60.756729	23.700481
actual	LPCg	-11.064349	22.251635	40.097716
actual	LPCg	-71.108192	26.002788	36.875420
actual	LPHc	-29.666841	24.329105	-2.009216
actual	LPHc	-73.091094	15.394510	1.326642
actual	LPIn	-48.137630	52.411645	-8.046481
actual	LPIn	-17.996129	-8.710955	71.731091
actual	RAHc	10.972981	40.901213	-13.731892
actual	RAHc	52.589949	41.605777	-24.283727
actual	RAIn	27.525177	67.913340	-15.304685
actual	RAIn	7.591009	83.689894	63.487334
actual	RAm	5.642066	48.031327	-18.286521
actual	RAm	46.095541	59.958179	-30.921704
actual	RFEF	0.528109	80.271456	23.553893
actual	RFEF	49.344121	83.176398	20.694194
actual	RMiIn	25.406996	54.811142	4.662887
actual	RMiIn	55.580900	61.691228	16.979476
actual	RPCg	3.315202	26.735631	38.637334
actual	RPCg	58.109114	43.207535	32.621794
actual	RPHc	16.036153	26.299780	-6.554010
actual	RPHc	57.473165	20.797555	-9.394198
actual	RPIn	29.716522	48.194932	-14.014272
actual	RPIn	19.913835	-12.981308	64.543516
