type	label	x	y	z
planned	LAHc	-27.400000	37.400000	-15.300000
planned	LAHc	-72.400000	37.900000	-14.100000
planned	LAIn	-46.300000	61.700000	-9.900000
planned	LAIn	-14.600000	99.700000	50.400000
planned	LAm	-26.100000	46.700000	-17.600000
planned	LAm	-70.400000	44.500000	-18.200000
planned	LFEF	-10.600000	79.100000	26.700000
planned	LFEF	-62.100000	75.700000	29.300000
planned	LMiIn	-40.700000	52.800000	2.700000
planned	LMiIn	-68.800000	60.600000	21.900000
planned	LPCg	-10.100000	22.900000	39.700000
planned	LPCg	-70.200000	26.300000	35.300000
planned	LPHc	-29.400000	23.300000	-3.100000
planned	LPHc	-71.900000	14.800000	-0.300000
planned	LPIn	-46.300000	51.200000	-8.700000
planned	LPIn	-18.300000	-8.500000	71.500000
planned	RAHc	10.400000	40.500000	-13.800000
planned	RAHc	52.700000	41.300000	-23.000000
planned	RAIn	27.100000	67.800000	-15.600000
planned	RAIn	6.500000	84.400000	62.100000
planned	RAm	5.600000	48.100000	-18.100000
planned	RAm	44.500000	58.700000	-29.400000
planned	RFEF	-1.000000	79.600000	22.900000
planned	RFEF	48.600000	82.000000	20.700000
planned	RMiIn	25.700000	54.900000	4.900000
planned	RMiIn	55.400000	61.500000	17.200000
planned	RPCg	2.000000	27.000000	38.900000
planned	RPCg	57.600000	42.600000	33.200000
planned	RPHc	15.500000	25.600000	-6.300000
planned	RPHc	56.900000	20.200000	-7.600000
planned	RPIn	28.800000	48.600000	-12.300000
planned	RPIn	18.700000	-11.700000	65.900000
