type	label	x_mcp	y_mcp	z_mcp
planned	LAHc	-34.980343	80.034876	-15.424754
planned	LAHc	-79.980343	80.534876	-14.224754
planned	LAIn	-53.880343	104.334876	-10.024754
planned	LAIn	-22.180343	142.334876	50.275246
planned	LAm	-33.680343	89.334876	-17.724754
planned	LAm	-77.980343	87.134876	-18.324754
planned	LFEF	-18.180343	121.734876	26.575246
planned	LFEF	-69.680343	118.334876	29.175246
planned	LMiIn	-48.280343	95.434876	2.575246
planned	LMiIn	-76.380343	103.234876	21.775246
planned	LPCg	-17.680343	65.534876	39.575246
planned	LPCg	-77.780343	68.934876	35.175246
planned	LPHc	-36.980343	65.934876	-3.224754
planned	LPHc	-79.480343	57.434876	-0.424754
planned	LPIn	-53.880343	93.834876	-8.824754
planned	LPIn	-25.880343	34.134876	71.375246
planned	RAHc	2.819657	83.134876	-13.924754
planned	RAHc	45.119657	83.934876	-23.124754
planned	RAIn	19.519657	110.434876	-15.724754
planned	RAIn	-1.080343	127.034876	61.975246
planned	RAm	-1.980343	90.734876	-18.224754
planned	RAm	36.919657	101.334876	-29.524754
planned	RFEF	-8.580343	122.234876	22.775246
planned	RFEF	41.019657	124.634876	20.575246
planned	RMiIn	18.119657	97.534876	4.775246
planned	RMiIn	47.819657	104.134876	17.075246
planned	RPCg	-5.580343	69.634876	38.775246
planned	RPCg	50.019657	85.234876	33.075246
planned	RPHc	7.919657	68.234876	-6.424754
planned	RPHc	49.319657	62.834876	-7.724754
planned	RPIn	21.219657	91.234876	-12.424754
planned	RPIn	11.119657	30.934876	65.775246
